Date;Name
28.05.2018;NYSE,NASDAQ
03.07.2018;NYSE,NASDAQ
04.07.2018;NYSE,NASDAQ
03.09.2018;NYSE,NASDAQ
22.11.2018;NYSE,NASDAQ
23.11.2018;NYSE,NASDAQ
05.12.2018;NYSE,NASDAQ
24.12.2018;NYSE,NASDAQ
25.12.2018;NYSE,NASDAQ
01.01.2018;MOEX,SPBEX,NYSE,NASDAQ
02.01.2018;MOEX,SPBEX
03.01.2018;SPBEX
04.01.2018;SPBEX
05.01.2018;SPBEX
06.01.2018;SPBEX
07.01.2018;MOEX,SPBEX
08.01.2018;SPBEX
23.02.2018;MOEX,SPBEX
08.03.2018;MOEX,SPBEX
29.04.2018;SPBEX
30.04.2018;SPBEX
01.05.2018;MOEX,SPBEX
09.05.2018;MOEX,SPBEX
10.05.2018;SPBEX
12.06.2018;MOEX,SPBEX
04.11.2018;MOEX,SPBEX
30.12.2018;MOEX,SPBEX
31.12.2018;MOEX,SPBEX
