iter	Passed	Remaining
406	6031	8787
407	6045	8771
408	6059	8755
409	6072	8738
410	6086	8722
411	6100	8705
412	6113	8689
413	6128	8674
414	6134	8647
415	6148	8631
416	6162	8615
417	6175	8598
418	6189	8582
419	6203	8566
420	6217	8550
421	6230	8533
422	6244	8518
423	6258	8502
424	6272	8486
425	6286	8470
426	6299	8452
427	6312	8436
428	6327	8421
429	6340	8405
430	6355	8390
431	6368	8374
432	6382	8357
433	6396	8341
434	6408	8324
435	6423	8308
436	6437	8293
437	6452	8279
438	6466	8263
439	6480	8248
440	6494	8232
441	6508	8217
442	6521	8199
443	6534	8183
444	6550	8169
445	6564	8153
446	6579	8139
447	6592	8123
448	6606	8107
449	6619	8090
450	6633	8075
451	6646	8058
452	6661	8043
453	6674	8027
454	6688	8011
455	6702	7996
456	6717	7981
457	6730	7964
458	6744	7949
459	6758	7934
460	6772	7918
461	6786	7903
462	6800	7887
463	6814	7871
464	6829	7857
465	6843	7842
466	6858	7827
467	6873	7813
468	6887	7798
469	6902	7783
470	6916	7768
471	6930	7752
472	6944	7737
473	6959	7723
474	6974	7708
475	6989	7693
476	7003	7678
477	7017	7663
478	7032	7648
479	7047	7634
480	7061	7619
481	7075	7603
482	7089	7588
483	7103	7572
484	7116	7557
485	7131	7542
486	7145	7526
487	7158	7510
488	7173	7496
489	7187	7481
490	7200	7464
491	7215	7450
492	7229	7435
493	7244	7420
494	7259	7405
495	7272	7390
496	7286	7374
497	7300	7358
498	7314	7343
499	7329	7329
500	7343	7313
501	7357	7298
502	7370	7282
503	7384	7267
504	7398	7251
505	7412	7236
506	7426	7221
507	7440	7206
508	7454	7191
509	7468	7175
510	7482	7160
511	7496	7144
512	7509	7129
513	7523	7113
514	7537	7098
515	7551	7083
516	7565	7067
517	7579	7052
518	7595	7038
519	7608	7023
520	7622	7008
521	7636	6992
522	7650	6977
523	7663	6961
524	7677	6946
525	7691	6931
526	7705	6916
527	7719	6900
528	7733	6885
529	7746	6869
530	7760	6854
531	7774	6839
532	7788	6823
533	7801	6808
534	7816	6793
535	7830	6778
536	7844	6763
537	7858	6748
538	7872	6733
539	7886	6717
540	7899	6702
541	7915	6688
542	7932	6676
543	7948	6662
544	7964	6649
545	7980	6635
546	7996	6621
547	8013	6609
548	8030	6596
549	8046	6583
550	8062	6569
551	8078	6556
552	8094	6543
553	8110	6529
554	8125	6514
555	8141	6501
556	8156	6487
557	8172	6473
558	8189	6460
559	8205	6446
560	8221	6433
561	8237	6420
562	8251	6405
563	8265	6389
564	8279	6374
565	8294	6359
566	8307	6344
567	8321	6329
568	8335	6313
569	8348	6297
570	8362	6282
571	8376	6267
572	8389	6252
573	8403	6236
574	8416	6220
575	8431	6206
576	8445	6191
577	8460	6177
578	8477	6163
579	8492	6150
580	8509	6136
581	8525	6122
582	8540	6108
583	8557	6095
584	8572	6081
585	8589	6068
586	8604	6054
587	8620	6039
588	8636	6026
589	8652	6012
590	8668	5999
591	8683	5984
592	8699	5970
593	8715	5957
594	8731	5943
595	8747	5929
596	8763	5915
597	8779	5901
598	8795	5887
599	8810	5873
600	8826	5859
601	8842	5845
602	8858	5831
603	8871	5816
604	8885	5801
605	8898	5785
606	8913	5770
607	8929	5756
608	8945	5743
609	8960	5729
610	8976	5714
611	8991	5700
612	9007	5686
613	9023	5672
614	9038	5658
615	9054	5644
616	9071	5630
617	9086	5616
618	9102	5602
619	9119	5589
620	9135	5575
621	9151	5561
622	9168	5548
623	9184	5533
624	9199	5519
625	9215	5505
626	9231	5491
627	9247	5477
628	9264	5464
629	9282	5451
630	9299	5437
631	9315	5424
632	9331	5410
633	9346	5395
634	9364	5382
635	9380	5368
636	9395	5354
637	9410	5339
638	9423	5323
639	9438	5309
640	9452	5294
641	9466	5278
642	9480	5263
643	9494	5248
644	9508	5233
645	9522	5218
646	9536	5203
647	9550	5187
648	9564	5172
649	9578	5157
650	9592	5142
651	9605	5126
652	9620	5112
653	9636	5098
654	9651	5083
655	9667	5069
656	9685	5056
657	9702	5043
658	9717	5028
659	9730	5012
660	9745	4997
661	9759	4982
662	9772	4967
663	9785	4951
664	9801	4937
665	9816	4922
666	9830	4907
667	9844	4892
668	9858	4877
669	9871	4862
670	9886	4847
671	9901	4832
672	9915	4817
673	9928	4802
674	9942	4787
675	9956	4771
676	9969	4756
677	9982	4741
678	9996	4725
679	10009	4710
680	10023	4695
681	10036	4679
682	10050	4664
683	10063	4649
684	10077	4634
685	10093	4619
686	10107	4604
687	10120	4589
688	10134	4574
689	10148	4559
690	10161	4543
691	10175	4528
692	10189	4513
693	10202	4498
694	10215	4483
695	10229	4468
696	10243	4453
697	10257	4437
698	10271	4422
699	10286	4408
700	10301	4394
701	10314	4378
702	10328	4363
703	10341	4348
704	10356	4333
705	10369	4318
706	10382	4302
707	10397	4288
708	10411	4273
709	10425	4258
710	10439	4243
711	10453	4228
712	10467	4213
713	10481	4198
714	10496	4183
715	10511	4169
716	10525	4154
717	10539	4139
718	10553	4124
719	10567	4109
720	10581	4094
721	10595	4079
722	10611	4065
723	10624	4050
724	10637	4035
725	10651	4020
726	10665	4004
727	10678	3989
728	10692	3974
729	10707	3960
730	10722	3945
731	10737	3931
732	10751	3916
733	10765	3901
734	10780	3886
735	10794	3871
736	10808	3857
737	10823	3842
738	10837	3827
739	10850	3812
740	10862	3796
741	10876	3781
742	10890	3766
743	10903	3751
744	10918	3737
745	10933	3722
746	10947	3707
747	10960	3692
748	10974	3677
749	10987	3662
750	11001	3647
751	11015	3632
752	11028	3617
753	11043	3602
754	11057	3588
755	11070	3572
756	11084	3558
757	11098	3543
758	11112	3528
759	11127	3513
